STAID,name,huc2,aridity,DA_km2,obs_mean,cov,vol_ratio,base_nse,in_base,upstream_gauges
06630000,"N PLATTE RIV AB SEMINOE RESERVOIR, NR SINCLA",10,4.071970780690511,11176.61,31.68285456966105,1.0,1.1487794255175963,0.8094338074631492,True,"06620000 NORTH PLATTE RIVER NEAR NORTHGATE, (3703 km2, cov 1.00)"
06259000,WIND R BL BOYSEN RES WYO,10,3.64695477142814,19954.86,34.24033442238078,1.0,1.0863654543047931,0.36814118622618996,True,"06228000 WIND RIVER AT RIVERTON, WY (5992 km2, cov 1.00); 06235500 LITTLE WIND RIVER NEAR RIVERTON, W (4934 km2, cov 1.00); 06225500 WIND RIVER NEAR CROWHEART, WY (4906 km2, cov 1.00)"
06282000,"SHOSHONE RIVER BELOW BUFFALO BILL RESERVOIR,",10,3.479931592941284,4001.216,26.930150210541907,1.0,0.9730280372226101,0.5856062120379636,True,"06279940 NORTH FORK SHOSHONE RIVER AT WAPIT (1812 km2, cov 1.00); 06281000 SOUTH FORK SHOSHONE RIVER AB BUFFA (1517 km2, cov 1.00); 06280300 SOUTH FORK SHOSHONE RIVER NEAR VAL (794 km2, cov 1.00)"
06725450,"ST. VRAIN CREEK BELOW LONGMONT, CO.",10,3.442325063002737,1089.185,2.9895579137056276,1.0,1.573406914575149,0.2985899720859766,True,
06281000,SOUTH FORK SHOSHONE RIVER AB BUFFALO BILL RE,10,2.9688588034008574,1516.756,9.725668063343631,1.0,1.046406753030429,0.8051100821654875,True,"06280300 SOUTH FORK SHOSHONE RIVER NEAR VAL (794 km2, cov 1.00)"
06635000,"MEDICINE BOW R AB SEMINOE RESERVOIR, NR HANN",10,2.9065537452697754,6060.855,4.317035131318627,1.0,1.2431731704778763,0.7065635563861168,True,"06634620 L MEDICINE BOW R AT BOLES SPRING,  (2703 km2, cov 1.00)"
07124410,"PURGATOIRE RIVER BELOW TRINIDAD LAKE, CO.",11,2.844776076862863,1740.91,2.0301268508064774,1.0,0.6967426239582182,0.4331233817656266,True,"07124200 PURGATOIRE RIVER AT MADRID, CO. (1307 km2, cov 1.00)"
08317950,"GALISTEO CREEK BELOW GALISTEO DAM, NM",13,4.515936374664307,1536.176,0.10613414699233899,1.0,1.309142715871207,-0.08684301057143196,True,
08395500,"PECOS RIVER NEAR LAKE ARTHUR, NM",13,4.489265490353592,44705.07,4.968214340667086,1.0,1.1828775645426193,-1.2702580464628768,True,"08386000 PECOS RIVER NEAR ACME, NM (32976 km2, cov 1.00)"
08390800,"RIO HONDO BLW DIAMOND A DAM NR ROSWELL, NM",13,4.39749678776182,2497.768,0.12654963452064497,1.0,7.955506867702634,-43.96311090444475,True,"08390500 RIO HONDO AT DIAMOND A RANCH NR RO (2449 km2, cov 1.00); 08387000 RIO RUIDOSO AT HOLLYWOOD, NM (311 km2, cov 1.00)"
08384500,"PECOS RIVER BELOW SUMNER DAM, NM",13,3.981429565886748,11624.61,4.609554807362764,1.0,0.8843191035750404,-0.14377416735936976,True,"08383500 PECOS RIVER NEAR PUERTO DE LUNA, N (10463 km2, cov 1.00); 08382830 PECOS RIVER BELOW SANTA ROSA DAM,  (6839 km2, cov 1.00); 08382650 PECOS RIVER ABOVE SANTA ROSA LAKE, (6453 km2, cov 1.00)"
08287000,"RIO CHAMA BELOW ABIQUIU DAM, NM",13,3.8910631386395695,5561.557,12.997505255936924,1.0,1.1745215621950018,0.08795615297382908,True,"08286500 RIO CHAMA ABOVE ABIQUIU RESERVOIR, (4147 km2, cov 1.00); 08220000 RIO GRANDE NEAR DEL NORTE, CO. (3398 km2, cov 1.00); 08285500 RIO CHAMA BELOW EL VADO DAM, NM (2248 km2, cov 1.00)"
08382830,"PECOS RIVER BELOW SANTA ROSA DAM, NM",13,3.801833201592296,6839.237,2.3820883884369133,1.0,1.7017434065159691,-0.2454938135131277,True,"08382650 PECOS RIVER ABOVE SANTA ROSA LAKE, (6453 km2, cov 1.00); 08379500 PECOS RIVER NEAR ANTON CHICO, NM (2702 km2, cov 1.00)"
08382650,"PECOS RIVER ABOVE SANTA ROSA LAKE, NM",13,3.69265163011144,6453.274,2.7997048072548196,1.0,1.4478989147487071,0.38710463472379686,True,"08379500 PECOS RIVER NEAR ANTON CHICO, NM (2702 km2, cov 1.00)"
08276300,"RIO PUEBLO DE TAOS BELOW LOS CORDOVAS, NM",13,3.387455605116928,995.1879,1.2196014719567712,1.0,1.9395089003116024,-0.08889286546841668,True,"08275500 RIO GRANDE DEL RANCHO NEAR TALPA,  (208 km2, cov 1.00); 08269000 RIO PUEBLO DE TAOS NEAR TAOS, NM (163 km2, cov 1.00); 08377900 RIO MORA NEAR TERRERO, NM (139 km2, cov 1.00)"
08285500,"RIO CHAMA BELOW EL VADO DAM, NM",13,3.200600746297461,2247.896,11.801717635325042,1.0,1.1652983044656593,0.11113321167028134,True,"08284100 RIO CHAMA NEAR LA PUENTE, NM (1224 km2, cov 1.00); 08334000 RIO PUERCO ABV ARROYO CHICO NR GUA (1097 km2, cov 1.00); 08289000 RIO OJO CALIENTE AT LA MADERA, NM (1067 km2, cov 1.00)"
08286500,"RIO CHAMA ABOVE ABIQUIU RESERVOIR, NM",13,2.997634204510316,4146.737,12.240567062733426,1.0,1.2047689435391233,0.14689631091831246,True,"08220000 RIO GRANDE NEAR DEL NORTE, CO. (3398 km2, cov 1.00); 08285500 RIO CHAMA BELOW EL VADO DAM, NM (2248 km2, cov 1.00); 08284100 RIO CHAMA NEAR LA PUENTE, NM (1224 km2, cov 1.00)"
08276500,RIO GRANDE BLW TAOS JUNCTION BRIDGE NEAR TAO,13,2.8618061361600406,16910.6,17.946416734234873,1.0,1.784814093773631,-1.3016042014480877,True,"08290000 RIO CHAMA NEAR CHAMITA, NM (7958 km2, cov 1.00); 08287000 RIO CHAMA BELOW ABIQUIU DAM, NM (5562 km2, cov 1.00); 08286500 RIO CHAMA ABOVE ABIQUIU RESERVOIR, (4147 km2, cov 1.00)"
08266820,"RED RIVER BELOW FISH HATCHERY, NEAR QUESTA, ",13,2.5955216145572075,465.3193,1.8748052477684307,1.0,1.1235000051718633,0.6830259554530482,True,"08265000 RED RIVER NEAR QUESTA, NM (290 km2, cov 1.00)"
09211200,"GREEN RIVER BELOW FONTENELLE RESERVOIR, WY",14,5.039178606025681,10861.65,38.85227238128907,1.0,1.1291474817835532,0.6042366457095885,True,"09209400 GREEN RIVER NEAR LA BARGE, WY (9895 km2, cov 1.00)"
09306290,"WHITE RIVER BELOW BOISE CREEK, NEAR RANGELY,",14,3.8209432116689137,6559.255,18.71944780279237,1.0,1.004443802318593,0.8621320859609236,True,"09304800 WHITE RIVER BELOW MEEKER, CO (2656 km2, cov 1.00); 09304500 WHITE RIVER NEAR MEEKER, CO. (1940 km2, cov 1.00); 09306222 PICEANCE CREEK AT WHITE RIVER, CO (1689 km2, cov 1.00)"
09124500,"LAKE FORK AT GATEVIEW, CO.",14,2.947804772766412,879.2001,6.2590319722602565,1.0,1.0023727624698948,0.8509976148791917,True,
09070000,"EAGLE RIVER BELOW GYPSUM, CO.",14,2.881489904001144,2461.667,16.017549076726954,1.0,1.0484037752002564,0.8649069656852533,True,"09064600 EAGLE RIVER NEAR MINTURN, CO (479 km2, cov 1.00)"
09118450,"COCHETOPA CREEK BELOW ROCK CREEK NR PARLIN, ",14,2.8240686485240625,864.4563,0.9804835922867848,1.0,1.3459493676360192,-0.6170756509680753,True,
09247600,"YAMPA RIVER BELOW CRAIG, CO.",14,2.644698015934945,5503.889,36.59487416977031,1.0,1.0585814230686132,0.9112206778472384,True,"09239500 YAMPA RIVER AT STEAMBOAT SPRINGS,  (1460 km2, cov 1.00); 09237500 YAMPA RIVER BELOW STAGECOACH RESER (583 km2, cov 1.00)"
09038500,"WILLIAMS FORK BELOW WILLIAMS FORK RESERVOIR,",14,2.5807324703384493,595.1547,3.934623237241683,1.0,1.0093617453445791,0.2484818830498723,True,"09037500 WILLIAMS FORK NEAR PARSHALL, CO. (479 km2, cov 1.00); 09036000 WILLIAMS FORK NEAR LEAL, CO. (232 km2, cov 1.00); 09035700 WILLIAMS FORK ABOVE DARLING CREEK, (92 km2, cov nan)"
09426000,"BILL WILLIAMS RIVER BELOW ALAMO DAM, AZ",15,7.475256679077423,11992.04,2.4762084474438444,1.0,1.2798573449628226,0.1426000164675808,True,
09502000,"SALT RIVER BLW STEWART MOUNTAIN DAM, AZ.",15,5.396782711705483,16022.48,17.65594744354726,1.0,1.5084731625491359,-10.621381535989126,True,"09498500 SALT RIVER NEAR ROOSEVELT, AZ. (11103 km2, cov 1.00); 09497500 SALT RIVER NEAR CHRYSOTILE, AZ. (7331 km2, cov 1.00)"
