staid,n_reach,nse0,sigma,STAID,huc2,CLASS,AGGECOREGI,STATE,DRAIN_SQKM,STANAME
10319900,69,0.73439634,6.94819,10319900,16,Non-ref,WestXeric,NV,2323.432,"S FK HUMBOLDT RV ABV TENMILE CK NR ELKO, NV"
10068500,215,-0.36867762,13.656045,10068500,16,Non-ref,WestXeric,ID,9587.663,"BEAR RIVER AT PESCADERO, ID"
14309000,3,-0.8818219,3.8697674,14309000,17,Non-ref,WestMnts,OR,202.1301,"COW CREEK NEAR AZALEA, OR"
14140000,5,0.8439595,28.001545,14140000,17,Non-ref,WestMnts,OR,278.091,"BULL RUN RIVER NEAR BULL RUN, OR"
14209000,9,0.2416389,6.953237,14209000,17,Non-ref,WestMnts,OR,321.0075,"OAK GROVE FORK ABOVE POWERPLANT INTAKE, OR."
14190500,13,0.8727682,40.2463,14190500,17,Non-ref,WestMnts,OR,603.4942,"LUCKIAMUTE RIVER NEAR SUVER, OR"
13235000,21,0.8068757,27.061857,13235000,17,Ref,WestMnts,ID,1163.229,SF PAYETTE RIVER AT LOWMAN ID
12457000,29,0.78188086,67.86109,12457000,17,Non-ref,WestMnts,WA,1545.47,"WENATCHEE RIVER AT PLAIN, WASH."
14301000,41,0.9102555,117.59568,14301000,17,Ref,WestMnts,OR,1743.544,"NEHALEM RIVER NEAR FOSS, OR"
14163150,63,0.5723406,84.34859,14163150,17,Non-ref,WestMnts,OR,2668.18,"MCKENZIE RIVER BLW LEABURG DAM, NR LEABURG, OR"
12324680,106,-0.017094254,12.535455,12324680,17,Non-ref,WestMnts,MT,4590.105,Clark Fork at Goldcreek MT
14046500,297,0.9116919,72.70568,14046500,17,Non-ref,WestMnts,OR,13313.44,"JOHN DAY RIVER AT SERVICE CREEK, OR"
11460600,3,0.8363523,10.260305,11460600,18,Non-ref,WestXeric,CA,211.5945,LAGUNITAS C NR PT REYES STATION CA
11164500,3,0.8569666,2.9979463,11164500,18,Non-ref,WestMnts,CA,97.65,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA
11216400,5,-4.071565,0.19067545,11216400,18,Non-ref,WestMnts,CA,341.1387,DINKEY C SIPHON FISH RELEASE A BALCH CAMP CA
11478500,7,0.8156709,50.865448,11478500,18,Ref,WestMnts,CA,572.3766,VAN DUZEN R NR BRIDGEVILLE CA
11161000,11,0.8665617,12.345675,11161000,18,Non-ref,WestMnts,CA,298.2771,SAN LORENZO R A SANTA CRUZ CA
11264500,15,0.8716127,17.732893,11264500,18,Ref,WestMnts,CA,467.9761,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA
11149400,25,-0.4738499,16.13192,11149400,18,Non-ref,WestXeric,CA,851.3712,NACIMIENTO R BL NACIMIENTO DAM NR BRADLEY CA
11454000,33,-0.34032512,24.561123,11454000,18,Non-ref,WestXeric,CA,1491.096,PUTAH C NR WINTERS CA
11270900,61,-0.14972496,34.140472,11270900,18,Non-ref,WestMnts,CA,2749.327,MERCED R BL MERCED FALLS DAM NR SNELL CA
11507500,223,0.42547095,26.32005,11507500,18,Non-ref,WestMnts,OR,9786.505,"LINK RIVER AT KLAMATH FALLS, OR"
